codBairro,bairro,codLocalidade,municipio,codMunicipioIBGE
11703,JARDIM NOVA PAULISTA,2236,Sarandi,4126256
11705,JARDIM NOVA PLANALTINA,508,Presidente Prudente,3541406
11706,JARDIM NOVA POÁ,567,Poá,3539806
11707,Jardim Nova República,839,Cubatão,3513504
11708,Jardim Nova República,857,Embu das Artes,3515004
11709,Jardim Nova República,556,Piracicaba,3538709
11710,Jardim Nova República,460,São João da Boa Vista,3549102
11711,JARDIM NOVA REPÚBLICA (2ª ETAPA),460,São João da Boa Vista,3549102
11712,JARDIM NOVA REPÚBLICA (3ª ETAPA),460,São João da Boa Vista,3549102
11713,JARDIM NOVA REPÚBLICA (4ª ETAPA),460,São João da Boa Vista,3549102
11714,JARDIM NOVA RIO CLARO,535,Rio Claro,3543907
11715,JARDIM NOVA SANTA PAULA,458,São Carlos,3548906
11716,JARDIM NOVA SANTA RITA,704,Leme,3526704
11717,JARDIM NOVA SÃO CARLOS,458,São Carlos,3548906
11718,JARDIM NOVA SÃO JOÃO,460,São João da Boa Vista,3549102
11719,JARDIM NOVA SERTÃOZINHO,426,Sertãozinho,3551702
11720,Jardim Nova Suiça,979,Araras,3503307
11721,Jardim Nova Suíça,706,Limeira,3526902
11722,Jardim Nova Suíça,556,Piracicaba,3538709
11723,Parque Nova Suíça,342,Valinhos,3556206
11724,JARDIM NOVA TABOÃO,768,Guarulhos,3518800
11725,JARDIM NOVA TEREZA,412,São Paulo,3550308
11726,JARDIM NOVA TERRA (NOVA VENEZA),433,Sumaré,3552403
11727,JARDIM NOVA VENEZA,535,Rio Claro,3543907
11728,JARDIM NOVA VENEZA (NOVA VENEZA),433,Sumaré,3552403
11729,JARDIM NOVA VIDA,834,Cotia,3513009
11730,JARDIM NOVA YORQUE,973,Araçatuba,3502804
11731,JARDIM NOVE DE JULHO,806,Ferraz de Vasconcelos,3515707
11732,JARDIM NOVE DE JULHO,412,São Paulo,3550308
11733,JARDIM NOVO,535,Rio Claro,3543907
11734,JARDIM NOVO AEROPORTO,3503,Três Lagoas,5008305
11735,JARDIM NOVO AEROPORTO,732,Itapetininga,3522307
11736,JARDIM NOVO AEROPORTO,468,São José do Rio Preto,3549805
11737,JARDIM NOVO ALVORADA,2381,Maringá,4115200
11738,JARDIM NOVO AMANHECER,754,Jacareí,3524402
11739,JARDIM NOVO AMPARO,963,Amparo,3501905
11740,JARDIM NOVO ÂNGULO,773,Hortolândia,3519071
11742,JARDIM NOVO BARÃO GERALDO,861,Campinas,3509502
11743,JARDIM NOVO BERTIOGA,2236,Sarandi,4126256
11744,JARDIM NOVO BONGIOVANI,508,Presidente Prudente,3541406
